"organismofinterest","date_qrt","onset","n_inc","n_adm","inc"
"Acinetobacter Sp.","2013 Q4","Post discharge",55,134299,0.409533950364485
"Acinetobacter Sp.","2014 Q1","Community-onset",115,136466,0.842700745973356
"Acinetobacter Sp.","2014 Q1","Hospital-onset",52,136466,0.381047293831431
"Acinetobacter Sp.","2014 Q1","Post discharge",41,136466,0.300441135520936
"Acinetobacter Sp.","2014 Q2","Community-onset",123,141215,0.871012286230216
"Acinetobacter Sp.","2014 Q2","Hospital-onset",69,141215,0.488616648373048
"Acinetobacter Sp.","2014 Q2","Post discharge",42,141215,0.297418829444464
"Acinetobacter Sp.","2014 Q3","Community-onset",155,139658,1.10985407209039
"Acinetobacter Sp.","2014 Q3","Hospital-onset",71,139658,0.508384768505922
"Acinetobacter Sp.","2014 Q3","Post discharge",52,139658,0.372338140314196
"Acinetobacter Sp.","2014 Q4","Community-onset",157,134458,1.16765086495411
"Acinetobacter Sp.","2014 Q4","Hospital-onset",55,134458,0.409049666066727
"Acinetobacter Sp.","2014 Q4","Post discharge",42,134458,0.312365199541864
"Acinetobacter Sp.","2015 Q1","Community-onset",129,135886,0.949325169627482
"Acinetobacter Sp.","2015 Q1","Hospital-onset",52,135886,0.382673711787822
"Acinetobacter Sp.","2015 Q1","Post discharge",36,135886,0.264927954314646
"Acinetobacter Sp.","2015 Q2","Community-onset",117,138705,0.843516816264735
"Acinetobacter Sp.","2015 Q2","Hospital-onset",53,138705,0.382105908222487
"Acinetobacter Sp.","2015 Q2","Post discharge",44,138705,0.317219999279045
"Acinetobacter Sp.","2015 Q3","Community-onset",133,137203,0.969366559040254
"Acinetobacter Sp.","2015 Q3","Hospital-onset",71,137203,0.517481396179384
"Acinetobacter Sp.","2015 Q3","Post discharge",59,137203,0.430019751754699
"Acinetobacter Sp.","2015 Q4","Community-onset",145,132219,1.09666538092105
"Acinetobacter Sp.","2015 Q4","Hospital-onset",67,132219,0.50673503808076
"Acinetobacter Sp.","2015 Q4","Post discharge",34,132219,0.257149123802177
"Acinetobacter Sp.","2016 Q1","Community-onset",121,138117,0.876068840186219
"Acinetobacter Sp.","2016 Q1","Hospital-onset",47,138117,0.340291202386383
"Acinetobacter Sp.","2016 Q1","Post discharge",44,138117,0.318570487340443
"Acinetobacter Sp.","2016 Q2","Community-onset",123,137059,0.897423737222656
"Acinetobacter Sp.","2016 Q2","Hospital-onset",46,137059,0.335621885465384
"Acinetobacter Sp.","2016 Q2","Post discharge",36,137059,0.262660606016387
"Acinetobacter Sp.","2016 Q3","Community-onset",154,135157,1.13941564254904
"Acinetobacter Sp.","2016 Q3","Hospital-onset",55,135157,0.406934158053227
"Acinetobacter Sp.","2016 Q3","Post discharge",54,135157,0.399535355179532
"Acinetobacter Sp.","2016 Q4","Community-onset",149,130683,1.14016360199873
"Acinetobacter Sp.","2016 Q4","Hospital-onset",51,130683,0.390257340281444
"Acinetobacter Sp.","2016 Q4","Post discharge",49,130683,0.374953130858643
"Acinetobacter Sp.","2017 Q1","Community-onset",114,136477,0.835305582625644
"Acinetobacter Sp.","2017 Q1","Hospital-onset",39,136477,0.285762436161405
"Acinetobacter Sp.","2017 Q1","Post discharge",32,136477,0.234471742491409
"Acinetobacter Sp.","2017 Q2","Community-onset",135,136124,0.991742822720461
"Acinetobacter Sp.","2017 Q2","Hospital-onset",45,136124,0.33058094090682
"Acinetobacter Sp.","2017 Q2","Post discharge",37,136124,0.271810995856719
"Acinetobacter Sp.","2017 Q3","Community-onset",159,133818,1.18818096220239
"Acinetobacter Sp.","2017 Q3","Hospital-onset",42,133818,0.313859122091198
"Acinetobacter Sp.","2017 Q3","Post discharge",57,133818,0.425951665695198
"Acinetobacter Sp.","2017 Q4","Community-onset",124,132108,0.938625972689012
"Acinetobacter Sp.","2017 Q4","Hospital-onset",42,132108,0.317921700426923
"Acinetobacter Sp.","2017 Q4","Post discharge",35,132108,0.26493475035577
"Acinetobacter Sp.","2018 Q1","Community-onset",108,136697,0.790068545761794
"Acinetobacter Sp.","2018 Q1","Hospital-onset",35,136697,0.256040732422804
"Acinetobacter Sp.","2018 Q1","Post discharge",34,136697,0.248725282925009
"Acinetobacter Sp.","2018 Q2","Community-onset",107,136870,0.781763717396069
"Acinetobacter Sp.","2018 Q2","Hospital-onset",37,136870,0.270329509753781
"Acinetobacter Sp.","2018 Q2","Post discharge",38,136870,0.277635712720099
"Acinetobacter Sp.","2018 Q3","Community-onset",162,133799,1.21077138095203
"Acinetobacter Sp.","2018 Q3","Hospital-onset",48,133799,0.358747075837637
"Acinetobacter Sp.","2018 Q3","Post discharge",54,133799,0.403590460317342
"Acinetobacter Sp.","2018 Q4","Community-onset",136,131059,1.03770057760245
"Acinetobacter Sp.","2018 Q4","Hospital-onset",28,131059,0.213644236565211
"Acinetobacter Sp.","2018 Q4","Post discharge",40,131059,0.305206052236016
"Acinetobacter Sp.","2019 Q1","Community-onset",89,134984,0.659337402951461
"Acinetobacter Sp.","2019 Q1","Hospital-onset",36,134984,0.266698275351153
"Acinetobacter Sp.","2019 Q1","Post discharge",22,134984,0.16298227938126
"Acinetobacter Sp.","2019 Q2","Community-onset",125,136761,0.914003261163636
"Acinetobacter Sp.","2019 Q2","Hospital-onset",33,136761,0.2412968609472
"Acinetobacter Sp.","2019 Q2","Post discharge",35,136761,0.255920913125818
"Acinetobacter Sp.","2019 Q3","Community-onset",112,133801,0.837063998026921
"Acinetobacter Sp.","2019 Q3","Hospital-onset",30,133801,0.224213570900068
"Acinetobacter Sp.","2019 Q3","Post discharge",42,133801,0.313898999260095
"Acinetobacter Sp.","2019 Q4","Community-onset",108,129551,0.833648524519301
"Acinetobacter Sp.","2019 Q4","Hospital-onset",38,129551,0.29332077714568
"Acinetobacter Sp.","2019 Q4","Post discharge",35,129551,0.270163873686811
"Acinetobacter Sp.","2020 Q1","Community-onset",88,124192,0.708580262818861
"Acinetobacter Sp.","2020 Q1","Hospital-onset",30,124192,0.241561453233703
"Acinetobacter Sp.","2020 Q1","Post discharge",26,124192,0.209353259469209
"Acinetobacter Sp.","2020 Q2","Community-onset",83,93235,0.890223628465705
"Acinetobacter Sp.","2020 Q2","Hospital-onset",22,93235,0.235962889472837
"Acinetobacter Sp.","2020 Q2","Post discharge",18,93235,0.193060545932322
"Acinetobacter Sp.","2020 Q3","Community-onset",113,113339,0.997008973080758
"Acinetobacter Sp.","2020 Q3","Hospital-onset",37,113339,0.326454265522018
"Acinetobacter Sp.","2020 Q3","Post discharge",31,113339,0.273515735977907
"Acinetobacter Sp.","2020 Q4","Community-onset",108,113705,0.949826304911833
"Acinetobacter Sp.","2020 Q4","Hospital-onset",57,113705,0.501297216481245
"Acinetobacter Sp.","2020 Q4","Post discharge",16,113705,0.140715008135086
"Acinetobacter Sp.","2021 Q1","Community-onset",87,112708,0.771906164602335
"Acinetobacter Sp.","2021 Q1","Hospital-onset",21,112708,0.186322177662633
"Acinetobacter Sp.","2021 Q1","Post discharge",13,112708,0.11534230045782
"Acinetobacter Sp.","2021 Q2","Community-onset",90,122643,0.733837234901299
"Acinetobacter Sp.","2021 Q2","Hospital-onset",25,122643,0.203843676361472
"Acinetobacter Sp.","2021 Q2","Post discharge",28,122643,0.228304917524849
"Acinetobacter Sp.","2021 Q3","Community-onset",128,121660,1.05211244451751
"Acinetobacter Sp.","2021 Q3","Hospital-onset",46,121660,0.378102909748479
"Acinetobacter Sp.","2021 Q3","Post discharge",41,121660,0.337004767384514
"Acinetobacter Sp.","2021 Q4","Community-onset",112,114060,0.9819393301771
"Acinetobacter Sp.","2021 Q4","Hospital-onset",36,114060,0.315623356128354
"Acinetobacter Sp.","2021 Q4","Post discharge",35,114060,0.306856040680344
"Acinetobacter Sp.","2022 Q1","Community-onset",73,110418,0.661124092086435
"Acinetobacter Sp.","2022 Q1","Hospital-onset",25,110418,0.226412360303574
"Acinetobacter Sp.","2022 Q1","Post discharge",18,110418,0.163016899418573
"Enterobacter cloacae","2007 Q1","Community-onset",283,127336,2.22246654520324
"Enterobacter cloacae","2007 Q1","Hospital-onset",200,127336,1.57064773512597
"Enterobacter cloacae","2007 Q1","Post discharge",65,127336,0.510460513915939
"Enterobacter cloacae","2007 Q2","Community-onset",309,127771,2.41838914933749
"Enterobacter cloacae","2007 Q2","Hospital-onset",251,127771,1.96445202745537
"Enterobacter cloacae","2007 Q2","Post discharge",148,127771,1.15832231100954
"Enterobacter cloacae","2007 Q3","Community-onset",423,127765,3.31076585919461
"Enterobacter cloacae","2007 Q3","Hospital-onset",341,127765,2.66896254842876
"Enterobacter cloacae","2007 Q3","Post discharge",135,127765,1.05662740187062
"Enterobacter cloacae","2007 Q4","Community-onset",334,125063,2.67065399038884
"Enterobacter cloacae","2007 Q4","Hospital-onset",265,125063,2.11893205824265
"Enterobacter cloacae","2007 Q4","Post discharge",98,125063,0.783605063048224
"Enterobacter cloacae","2008 Q1","Community-onset",270,131960,2.04607456805092
"Enterobacter cloacae","2008 Q1","Hospital-onset",269,131960,2.03849651409518
"Enterobacter cloacae","2008 Q1","Post discharge",79,131960,0.598666262503789
"Enterobacter cloacae","2008 Q2","Community-onset",344,132154,2.60302374502474
"Enterobacter cloacae","2008 Q2","Hospital-onset",255,132154,1.9295670202945
"Enterobacter cloacae","2008 Q2","Post discharge",118,132154,0.892897679979418
"Enterobacter cloacae","2008 Q3","Community-onset",403,131853,3.05643405914162
"Enterobacter cloacae","2008 Q3","Hospital-onset",332,131853,2.517955602072
"Enterobacter cloacae","2008 Q3","Post discharge",129,131853,0.978362267070146
"Enterobacter cloacae","2008 Q4","Community-onset",349,127920,2.72826766729206
"Enterobacter cloacae","2008 Q4","Hospital-onset",279,127920,2.18105065666041
"Enterobacter cloacae","2008 Q4","Post discharge",111,127920,0.867729831144465
"Enterobacter cloacae","2009 Q1","Community-onset",266,134338,1.98008009647308
"Enterobacter cloacae","2009 Q1","Hospital-onset",254,134338,1.89075317482767
"Enterobacter cloacae","2009 Q1","Post discharge",114,134338,0.848605755631318
"Enterobacter cloacae","2009 Q2","Community-onset",361,138175,2.61262891261082
"Enterobacter cloacae","2009 Q2","Hospital-onset",290,138175,2.09878776913335
"Enterobacter cloacae","2009 Q2","Post discharge",147,138175,1.06386828297449
"Enterobacter cloacae","2009 Q3","Community-onset",398,138183,2.88023852427578
"Enterobacter cloacae","2009 Q3","Hospital-onset",311,138183,2.25063864585369
"Enterobacter cloacae","2009 Q3","Post discharge",134,138183,0.969728548374257
"Enterobacter cloacae","2009 Q4","Community-onset",348,132778,2.62091611562156
"Enterobacter cloacae","2009 Q4","Hospital-onset",254,132778,1.91296750967781
"Enterobacter cloacae","2009 Q4","Post discharge",122,132778,0.918826914097215
"Enterobacter cloacae","2010 Q1","Community-onset",314,138694,2.26397681226297
"Enterobacter cloacae","2010 Q1","Hospital-onset",245,138694,1.76647872294404
"Enterobacter cloacae","2010 Q1","Post discharge",112,138694,0.807533130488702
"Enterobacter cloacae","2010 Q2","Community-onset",359,141169,2.54305123646126
"Enterobacter cloacae","2010 Q2","Hospital-onset",254,141169,1.79926187760769
"Enterobacter cloacae","2010 Q2","Post discharge",124,141169,0.878379814265172
"Enterobacter cloacae","2010 Q3","Community-onset",470,140257,3.35099139436891
"Enterobacter cloacae","2010 Q3","Hospital-onset",303,140257,2.16031998402932
"Enterobacter cloacae","2010 Q3","Post discharge",155,140257,1.10511418324932
"Enterobacter cloacae","2010 Q4","Community-onset",338,134637,2.51045403566627
"Enterobacter cloacae","2010 Q4","Hospital-onset",262,134637,1.94597324658155
"Enterobacter cloacae","2010 Q4","Post discharge",134,134637,0.995268759702014
"Enterobacter cloacae","2011 Q1","Community-onset",350,139539,2.50825933968281
"Enterobacter cloacae","2011 Q1","Hospital-onset",223,139539,1.59811952214076
"Enterobacter cloacae","2011 Q1","Post discharge",115,139539,0.82414235446721
"Enterobacter cloacae","2011 Q2","Community-onset",368,141372,2.60306142659084
"Enterobacter cloacae","2011 Q2","Hospital-onset",229,141372,1.61983985513397
"Enterobacter cloacae","2011 Q2","Post discharge",144,141372,1.01858925388337
"Enterobacter cloacae","2011 Q3","Community-onset",410,139364,2.94193622456301
"Enterobacter cloacae","2011 Q3","Hospital-onset",275,139364,1.9732499067191
"Enterobacter cloacae","2011 Q3","Post discharge",133,139364,0.954335409431417
"Enterobacter cloacae","2011 Q4","Community-onset",360,135771,2.65152352122324
"Enterobacter cloacae","2011 Q4","Hospital-onset",214,135771,1.57618342650492
"Enterobacter cloacae","2011 Q4","Post discharge",117,135771,0.861745144397552
"Enterobacter cloacae","2012 Q1","Community-onset",332,140774,2.35839004361601
"Enterobacter cloacae","2012 Q1","Hospital-onset",196,140774,1.39230255586969
"Enterobacter cloacae","2012 Q1","Post discharge",129,140774,0.916362396465256
"Enterobacter cloacae","2012 Q2","Community-onset",370,140781,2.62819556616305
"Enterobacter cloacae","2012 Q2","Hospital-onset",252,140781,1.79001427749483
"Enterobacter cloacae","2012 Q2","Post discharge",119,140781,0.845284519928115
"Enterobacter cloacae","2012 Q3","Community-onset",454,138247,3.2839772291623
"Enterobacter cloacae","2012 Q3","Hospital-onset",262,138247,1.89515866528749
"Enterobacter cloacae","2012 Q3","Post discharge",139,138247,1.0054467728052
"Enterobacter cloacae","2012 Q4","Community-onset",379,133753,2.83358130284928
"Enterobacter cloacae","2012 Q4","Hospital-onset",227,133753,1.69715819458255
"Enterobacter cloacae","2012 Q4","Post discharge",118,133753,0.882223202470225
"Enterobacter cloacae","2013 Q1","Community-onset",307,136643,2.2467305313847
"Enterobacter cloacae","2013 Q1","Hospital-onset",180,136643,1.31730128875976
"Enterobacter cloacae","2013 Q1","Post discharge",95,136643,0.695242346845429
"Enterobacter cloacae","2013 Q2","Community-onset",335,138223,2.42361980278246
"Enterobacter cloacae","2013 Q2","Hospital-onset",202,138223,1.46140656764793
"Enterobacter cloacae","2013 Q2","Post discharge",127,138223,0.918805119263798
"Enterobacter cloacae","2013 Q3","Community-onset",437,137496,3.17827427706988
"Enterobacter cloacae","2013 Q3","Hospital-onset",224,137496,1.62913830220516
"Enterobacter cloacae","2013 Q3","Post discharge",140,137496,1.01821143887822
"Enterobacter cloacae","2013 Q4","Community-onset",362,134299,2.69547800058079
"Enterobacter cloacae","2013 Q4","Hospital-onset",192,134299,1.42964579036329
"Enterobacter cloacae","2013 Q4","Post discharge",137,134299,1.02011183999881
"Enterobacter cloacae","2014 Q1","Community-onset",312,136466,2.28628376298858
"Enterobacter cloacae","2014 Q1","Hospital-onset",173,136466,1.26771503524687
"Enterobacter cloacae","2014 Q1","Post discharge",121,136466,0.886667741415444
"Enterobacter cloacae","2014 Q2","Community-onset",379,141215,2.68385086570124
"Enterobacter cloacae","2014 Q2","Hospital-onset",190,141215,1.34546613320115
"Enterobacter cloacae","2014 Q2","Post discharge",151,141215,1.06929150585986
"Enterobacter cloacae","2014 Q3","Community-onset",416,139658,2.97870512251357
"Enterobacter cloacae","2014 Q3","Hospital-onset",205,139658,1.4678715147002
"Enterobacter cloacae","2014 Q3","Post discharge",160,139658,1.14565581635137
"Enterobacter cloacae","2014 Q4","Community-onset",348,134458,2.58816879620402
"Enterobacter cloacae","2014 Q4","Hospital-onset",207,134458,1.53951419774205
"Enterobacter cloacae","2014 Q4","Post discharge",132,134458,0.981719198560145
"Enterobacter cloacae","2015 Q1","Community-onset",318,135886,2.34019692977937
"Enterobacter cloacae","2015 Q1","Hospital-onset",181,135886,1.3319988814153
"Enterobacter cloacae","2015 Q1","Post discharge",110,135886,0.809502082628085
"Enterobacter cloacae","2015 Q2","Community-onset",321,138705,2.3142640856494
"Enterobacter cloacae","2015 Q2","Hospital-onset",161,138705,1.16073681554378
"Enterobacter cloacae","2015 Q2","Post discharge",112,138705,0.807469089073934
"Enterobacter cloacae","2015 Q3","Community-onset",379,137203,2.76233026974629
"Enterobacter cloacae","2015 Q3","Hospital-onset",198,137203,1.4431171330073
"Enterobacter cloacae","2015 Q3","Post discharge",144,137203,1.04953973309622
"Enterobacter cloacae","2015 Q4","Community-onset",376,132219,2.84376678087113
"Enterobacter cloacae","2015 Q4","Hospital-onset",172,132219,1.30087203805807
"Enterobacter cloacae","2015 Q4","Post discharge",131,132219,0.99078044759074
"Enterobacter cloacae","2016 Q1","Community-onset",334,138117,2.41823960844791
"Enterobacter cloacae","2016 Q1","Hospital-onset",175,138117,1.26704171101313
"Enterobacter cloacae","2016 Q1","Post discharge",114,138117,0.825387171745694
"Enterobacter cloacae","2016 Q2","Community-onset",401,137059,2.92574730590476
"Enterobacter cloacae","2016 Q2","Hospital-onset",163,137059,1.18926885501864
"Enterobacter cloacae","2016 Q2","Post discharge",123,137059,0.897423737222656
"Enterobacter cloacae","2016 Q3","Community-onset",449,135157,3.32206249028907
"Enterobacter cloacae","2016 Q3","Hospital-onset",189,135157,1.39837374312836
"Enterobacter cloacae","2016 Q3","Post discharge",149,135157,1.10242162818056
"Enterobacter cloacae","2016 Q4","Community-onset",386,130683,2.95371241860074
"Enterobacter cloacae","2016 Q4","Hospital-onset",163,130683,1.24729306795834
"Enterobacter cloacae","2016 Q4","Post discharge",149,130683,1.14016360199873
"Enterobacter cloacae","2017 Q1","Community-onset",376,136477,2.75504297427405
"Enterobacter cloacae","2017 Q1","Hospital-onset",150,136477,1.09908629292848
"Enterobacter cloacae","2017 Q1","Post discharge",138,136477,1.0111593894942
"Enterobacter cloacae","2017 Q2","Community-onset",376,136124,2.76218741735476
"Enterobacter cloacae","2017 Q2","Hospital-onset",182,136124,1.33701624988981
"Enterobacter cloacae","2017 Q2","Post discharge",146,136124,1.07255149716435
"Enterobacter cloacae","2017 Q3","Community-onset",428,133818,3.19837391083412
"Enterobacter cloacae","2017 Q3","Hospital-onset",170,133818,1.27038216084533
"Enterobacter cloacae","2017 Q3","Post discharge",158,133818,1.18070812596213
"Enterobacter cloacae","2017 Q4","Community-onset",414,132108,3.13379961849396
"Enterobacter cloacae","2017 Q4","Hospital-onset",159,132108,1.20356072304478
"Enterobacter cloacae","2017 Q4","Post discharge",137,132108,1.03703030853544
"Enterobacter cloacae","2018 Q1","Community-onset",375,136697,2.7432935616729
"Enterobacter cloacae","2018 Q1","Hospital-onset",137,136697,1.00221658119783
"Enterobacter cloacae","2018 Q1","Post discharge",133,136697,0.972954783206654
"Enterobacter cloacae","2018 Q2","Community-onset",390,136870,2.84941915686418
"Enterobacter cloacae","2018 Q2","Hospital-onset",141,136870,1.0301746182509
"Enterobacter cloacae","2018 Q2","Post discharge",131,136870,0.957112588587711
"Enterobacter cloacae","2018 Q3","Community-onset",427,133799,3.19135419547231
"Enterobacter cloacae","2018 Q3","Hospital-onset",158,133799,1.18087579129889
"Enterobacter cloacae","2018 Q3","Post discharge",151,133799,1.1285585094059
"Enterobacter cloacae","2018 Q4","Community-onset",419,131059,3.19703339717227
"Enterobacter cloacae","2018 Q4","Hospital-onset",159,131059,1.21319405763816
"Enterobacter cloacae","2018 Q4","Post discharge",132,131059,1.00717997237885
"Enterobacter cloacae","2019 Q1","Community-onset",416,134984,3.0818467373911
"Enterobacter cloacae","2019 Q1","Hospital-onset",176,134984,1.30385823505008
"Enterobacter cloacae","2019 Q1","Post discharge",129,134984,0.955668820008297
"Enterobacter cloacae","2019 Q2","Community-onset",444,136761,3.24653958365323
"Enterobacter cloacae","2019 Q2","Hospital-onset",133,136761,0.972499469878109
"Enterobacter cloacae","2019 Q2","Post discharge",125,136761,0.914003261163636
"Enterobacter cloacae","2019 Q3","Community-onset",493,133801,3.68457634845778
"Enterobacter cloacae","2019 Q3","Hospital-onset",175,133801,1.30791249691706
"Enterobacter cloacae","2019 Q3","Post discharge",175,133801,1.30791249691706
"Enterobacter cloacae","2019 Q4","Community-onset",373,129551,2.87917499671944
"Enterobacter cloacae","2019 Q4","Hospital-onset",150,129551,1.15784517294347
"Enterobacter cloacae","2019 Q4","Post discharge",130,129551,1.00346581655101
"Enterobacter cloacae","2020 Q1","Community-onset",372,124192,2.99536202009791
"Enterobacter cloacae","2020 Q1","Hospital-onset",127,124192,1.02261015202267
"Enterobacter cloacae","2020 Q1","Post discharge",99,124192,0.797152795671219
"Enterobacter cloacae","2020 Q2","Community-onset",385,93235,4.12935056577466
"Enterobacter cloacae","2020 Q2","Hospital-onset",108,93235,1.15836327559393
"Enterobacter cloacae","2020 Q2","Post discharge",80,93235,0.858046870810318
"Enterobacter cloacae","2020 Q3","Community-onset",409,113339,3.6086430972569
"Enterobacter cloacae","2020 Q3","Hospital-onset",186,113339,1.64109441586744
"Enterobacter cloacae","2020 Q3","Post discharge",132,113339,1.16464764997044
"Enterobacter cloacae","2020 Q4","Community-onset",365,113705,3.21006112308166
"Enterobacter cloacae","2020 Q4","Hospital-onset",190,113705,1.67099072160415
"Enterobacter cloacae","2020 Q4","Post discharge",117,113705,1.02897849698782
"Enterobacter cloacae","2021 Q1","Community-onset",395,112708,3.50463143698761
"Enterobacter cloacae","2021 Q1","Hospital-onset",156,112708,1.38410760549384
"Enterobacter cloacae","2021 Q1","Post discharge",98,112708,0.869503495758952
"Enterobacter cloacae","2021 Q2","Community-onset",445,122643,3.6284174392342
